,Stock,Score,Sharpe
0,ABX,-0.0001280979530386972,0.027569587231159168
1,ACB,0.004391766221407578,0.043946664142778154
2,AEM,-6.386003278557872e-05,0.04831956971193727
3,BAM.A,-0.00033772290457489973,-0.011729650261890743
4,BNS,-0.001755661215865345,-0.014291874665165998
5,CNQ,0.00047040393856012663,0.03045921785480149
6,CNR,-0.0003098963243266528,0.020298105598913506
7,CRON,-0.0009286037925564372,-0.034166991129866146
8,CVE,-0.0015572687813116826,0.024994924130684774
9,ECA,0.001930265642692719,0.06405493747185499
10,ENB,-0.003517192137661329,-0.03428368942896109
11,FOOD,-0.05688264482251415,-0.03594519129396641
12,G,-1.054242458553567e-05,0.03215145311959196
13,HQU,-0.0023861697401028614,-0.019864839578580325
14,HSD,0.0001292591714806557,0.019256110534762737
15,LUG,-0.00029840059506858196,0.01944211058315431
16,MFC,0.004990395434185335,0.07344816133685077
17,PTG,-0.007212619516504093,-0.03647830217159253
18,PVG,-0.005995405394644049,0.009166108864599268
19,RY,-0.0006746377538486836,-0.0037646337127001466
20,SHOP,0.001402997314686294,0.03927362128421981
21,SMU.UN,-0.00037165703837271913,-0.004906342900677622
22,SU,-0.0007132063240220532,-0.02093822547923484
23,TD,-0.0014511927769291777,-0.0076127877003368035
24,TECK.B,-0.0003362305255796283,0.04931100052500423
25,WPM,-0.001175668621404613,0.04727333568535036
26,XIU,-0.0009000028301557883,-0.0015793272652239706
27,XSP,-0.00022629692519138267,-0.012306652936750786
